Kanji + Furigana,Romaji,English
あ、すみません。,"A, sumimasen.","Oh, excuse me."
今(いま)、ちょっといいですか？,"Ima, chotto ii desu ka?",Do you have a moment right now?
美術館(びじゅつかん)に行(い)きたいんですが、,"Bijutsukan ni ikitai n desu ga,","I’d like to go to the art museum,"
この近(ちか)くにありますか？,kono chikaku ni arimasu ka?,is there one nearby?
はい。ありますよ。,Hai. Arimasu yo.,Yes. There is one.
歩(ある)いて何分(なんぷん)ぐらいですか？,Aruite nanpun gurai desu ka?,About how many minutes is it on foot?
歩(ある)いて20分(にじゅっぷん)ぐらいです。,Aruite nijuppun gurai desu.,It's about 20 minutes on foot.
結構(けっこう)遠(とお)いですね。,Kekkou tooi desu ne.,"That’s quite far, isn’t it?"
タクシーは高(たか)いですか？,Takushii wa takai desu ka?,Are taxis expensive?
タクシーはちょっと高(たか)いと思(おも)います。,Takushii wa chotto takai to omoimasu.,I think taxis are a bit expensive.
電車(でんしゃ)とかバスはありますか？,Densha toka basu wa arimasu ka?,Are there things like trains or buses?
バスはありませんが、電車(でんしゃ)はありますよ。,"Basu wa arimasen ga, densha wa arimasu yo.","There aren't any buses, but there is a train."
駅(えき)はどこにありますか？,Eki wa doko ni arimasu ka?,Where is the station?
この道(みち)をまっすぐ行(い)って、,"Kono michi o massugu itte,","Go straight down this road,"
角(かど)を右(みぎ)に曲(ま)がると、駅(えき)があります。,"kado o migi ni magaru to, eki ga arimasu.","and when you turn right at the corner, there is a station."
ありがとうございます。,Arigatou gozaimasu.,Thank you very much.
この街(まち)で有名(ゆうめい)な観光地(かんこうち)や、,"Kono machi de yuumei na kankouchi ya,",Are there any famous sightseeing spots
おすすめの場所(ばしょ)はありますか？,osusume no basho wa arimasu ka?,or recommended places in this town?
大(おお)きな広場(ひろば)が有名(ゆうめい)です。,Ookina hiroba ga yuumei desu.,A large plaza is famous.
いろいろなお店(みせ)があって面白(おもしろ)いですよ。,Iroiro na omise ga atte omoshiroi desu yo.,There are various shops and it’s interesting.
ときどきイベントもあります。,Tokidoki ibento mo arimasu.,"Sometimes there are events, too."
わかりました。あとで行(い)ってみます。,Wakarimashita. Ato de itte mimasu.,I see. I'll try going there later.
そういえば、のどがかわいたので,"Sou ieba, nodo ga kawaita node","Speaking of which, I'm thirsty, so"
水(みず)を買(か)いたいんですが、,"mizu o kaitai n desu ga,",I want to buy some water;
この近(ちか)くにスーパーとかコンビニはありますか？,kono chikaku ni suupaa toka konbini wa arimasu ka?,are there supermarkets or convenience stores nearby?
はい。あの黄色(きいろ)い看板(かんばん)、見(み)えますか？,"Hai. Ano kiiroi kanban, miemasu ka?",Yes. Can you see that yellow sign over there?
あれがコンビニです。,Are ga konbini desu.,That is the convenience store.
わかりました。ありがとうございます。,Wakarimashita. Arigatou gozaimasu.,I understand. Thank you.
あ、もうすぐお昼(ひる)ですね。,"A, mousugu ohiru desu ne.","Oh, it’s almost lunchtime."
この近(ちか)くにおすすめのレストランや,Kono chikaku ni osusume no resutoran ya,Are there any recommended restaurants
カフェはありますか？,kafe wa arimasu ka?,or cafes near here?
駅(えき)の近(ちか)くに『Pomodoro』という,"Eki no chikaku ni ""Pomodoro"" to iu","Near the station, there is an"
イタリアンレストランがあります。,Itarian resutoran ga arimasu.,"Italian restaurant called ""Pomodoro."""
ピザがとてもおいしいのでおすすめです。,Piza ga totemo oishii node osusume desu.,"The pizza is very delicious, so I recommend it."
あっ、どうしよう…,"At, dou shiyou...","Oh, what should I do..."
スマホのバッテリーがもうすぐなくなります。,Sumaho no batterii ga mousugu nakunarimasu.,My smartphone battery is about to run out.
この近(ちか)くにスマホを充電(じゅうでん)できる場所(ばしょ)はありますか？,Kono chikaku ni sumaho o juuden dekiru basho wa arimasu ka?,Is there a place nearby where I can charge my phone?
コンビニでモバイルバッテリーが,Konbini de mobairu batterii ga,I think you can buy a
買(か)えると思(おも)います。,kaeru to omoimasu.,mobile battery at the convenience store.
わかりました。,Wakarimashita.,I see.
いろいろ教(おし)えてくださってありがとうございました。,Iroiro oshiete kudasatte arigatou gozaimashita.,Thank you very much for telling me so many things.
それでは、失礼(しつれい)します。,"Sore de wa, shitsurei shimasu.","Well then, excuse me (goodbye)."